district,rps01,rps02,rps03,rps04,rps05,rps06,rps07,rps08,rps09,rps10,rps11,rps12,rps13,rps14,rps15,rps16,rps17,rps18,rps19,rps20,rps21,rps22,rps23,rps24,rps25,rps26,rps27,rps28,rps29,rps30,rps31
雙溪區,土地,平林段後番子坑小段431地號,6876.25,,山坡地保育區,林業用地,1110103,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2200398,320,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLQJJHHGFFF77DA,0,0,0,無
雙溪區,土地,柑腳段柑腳小段98-1地號,34,,山坡地保育區,丙種建築用地,1110107,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,102000,3000,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLOKJHHGFFF97EA,0,0,0,無
雙溪區,土地,武丹坑段武丹坑小段520地號,3262.5,,山坡地保育區,林業用地,1110108,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,1350000,414,,0,0,總價135萬元，其中120萬元為債權債務相抵，另15萬元支付現金。,RPQNMLRKJHHGFFF18EA,0,0,0,無
雙溪區,土地,烏山段三分二小段27-1地號,1036,都市：其他:保安保護區,,,1110110,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,130000,125,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPRNMLKLJHHGFFF57DA,0,0,0,無
雙溪區,土地,三叉港段土地公嶺小段32-4地號,2321,,山坡地保育區,農牧用地,1110126,土地3建物0車位0,,,其他,,,,0,0,0,0,有,無,3500000,1508,,0,0,,RPRNMLRJKHHGFFF18DA,0,0,0,無
雙溪區,土地,新基段843-2地號,10.98,住,,,1110113,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,104000,9472,,0,0,佔有人購買親友、員工、共有人或其他特殊關係間之交易；,RPRNMLMLKHHGFFF97EA,0,0,0,無
雙溪區,土地,新基段843-3地號,8.47,住,,,1110113,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,90629,10700,,0,0,佔有人購買,RPTNMLMLKHHGFFF18EA,0,0,0,無
雙溪區,土地,新基段843-4地號,65.16,住,,,1110113,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,697000,10697,,0,0,佔有人購買,RPUNMLMLKHHGFFF28EA,0,0,0,無
雙溪區,土地,溪尾寮段溪尾寮小段49-1地號,201.4,都市：其他:保安保護區,,,1110118,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,81000,402,,0,0,地清或未辦繼承標售；,RPPNMLOJLHHGFFF77DA,0,0,0,無
雙溪區,土地,丁子蘭坑段704地號,1001.48,,山坡地保育區,林業用地,1101203,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,150000,150,,0,0,,RPQNMLTJKIGGFFF28DA,0,0,0,無
雙溪區,土地,泰和段89地號,58.99,住,,,1101217,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,3500000,59332,,0,0,未辦保存登記建物:新北市雙溪區梅竹蹊64號1至3樓未登記建物；,RPPNMLMLKIGGFFF67DA,0,0,0,無
雙溪區,土地,武丹坑段粗坑小段27地號,269.25,,一般農業區,甲種建築用地,1101209,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,2170000,8059,,0,0,含土地增值稅或其他稅費；親友、員工、共有人或其他特殊關係間之交易；,RPQNMLKKKIGGFFF47DA,0,0,0,無
雙溪區,土地,大平段破子寮小段76-1地號,2055.67,都市：其他:保安保護區,,,1101212,土地7建物0車位0,,,其他,,,,0,0,0,0,有,無,2000000,973,,0,0,包含公共設施保留地用地；,RPPNMLNLKIGGFFF87EA,0,0,0,無
雙溪區,土地,平林段新寮子小段331地號,7059.25,,山坡地保育區,林業用地,1101204,土地5建物0車位0,,,其他,,,,0,0,0,0,有,無,1400000,198,,0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPNMLOLKIGGFFF97EA,0,0,0,無
雙溪區,土地,泰和段333地號,26.12,都市：其他:道路用地,,,1101210,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,61133,2340,,0,0,協議價購；,RPTNMLLLKIGGFFF97DA,0,0,0,無
雙溪區,土地,泰和段333地號,26.12,都市：其他:道路用地,,,1101210,土地2建物0車位0,,,其他,,,,0,0,0,0,有,無,61133,2340,,0,0,協議價購；,RPUNMLLLKIGGFFF08DA,0,0,0,無
雙溪區,土地,柑腳段外柑腳小段49-2地號,4347,,山坡地保育區,農牧用地,1101207,土地1建物0車位0,,,其他,,,,0,0,0,0,有,無,7510000,1728,,0,0,,RPPNMLPJJHHGFFF77EA,0,0,0,無
