國文,英文,數學,地理,歷史
50,65,60,88,100
54,96,77,95,62
83,86,72,95,80
82,77,74,88,80
74,57,83,70,66
68,76,89,98,93
60,55,97,98,80
77,63,96,72,80
66,60,58,90,94
58,59,77,95,62
68,89,79,87,77
68,52,53,89,99
67,97,97,92,92
53,75,61,96,82
62,98,91,56,58
52,92,84,77,97
84,95,91,75,84
95,95,55,72,91
58,75,65,81,52
70,69,95,50,81
71,94,55,84,100
93,67,98,63,65
87,74,96,86,56
80,88,60,97,94
92,52,74,85,71
98,94,60,76,79
52,84,94,81,62
87,80,87,67,76
54,57,94,59,71
87,60,98,100,71
78,91,59,95,99
70,68,93,50,61
52,99,73,100,71
65,76,94,60,79
50,62,55,76,50
56,97,74,55,83
99,63,93,65,95
55,89,98,68,77
65,65,90,98,67
99,64,90,88,92
70,75,50,95,65
83,80,90,83,100
71,81,50,93,63
98,86,60,76,89
75,51,65,88,86
83,88,76,76,51
73,94,84,66,81
94,60,94,75,88
68,53,74,76,92
87,57,52,76,87
